Model,threshold,resolution,energy,energy_diff
LM,40,0.2,-89.40712708693,0.009764624680002498
LM,40,0.2,-89.405172467384,0.008305916257995705
LM,40,1.0,-89.419720234444,0.00858051815799854
LM,40,0.2,-89.401834658524,0.006097019290010053
LM,40,1.8,-125.88693923531497,0.041961723051031186
LM,40,2.1,-125.882241833006,0.04422717120499442
LM,40,2.0,-125.880009440424,0.03630166073899943
LM,40,2.5,-125.92338277654699,0.004806108902982942
LM,40,2.4,-125.87966017351701,0.0331574894459834
LM,40,0.3,-97.161714293153,0.002349961749999352
LM,40,0.7,-97.177156791464,0.004031076329994221
LM,40,0.3,-97.145233664843,0.009217410484993138
LM,40,0.3,-97.15966454813099,0.0014675233500156537
LM,40,0.3,-97.142681088577,0.008579294639986301
LM,40,0.1,-97.152158260891,0.00784947783000689
LM,40,1.8,-129.05576756006502,0.012394726013980062
LM,40,1.9,-129.059184133909,0.009114284997991717
LM,40,1.0,-129.02844782841998,0.0321324626990247
LM,40,1.0,-129.02966075044898,0.024677944371006788
LM,40,1.6,-129.05542836856299,0.001752117056980751
LM,40,1.6,-129.047219877925,0.0022140149879987803
LM,40,0.1,-124.690367382468,0.0024698006979946285
LM,40,0.1,-124.690255395733,0.0026384378819983567
LM,40,0.1,-124.693334960055,0.004808094579999533
LM,40,0.1,-124.686341113937,0.0039715855950106516
LM,40,1.0,-143.859556775638,0.027183577304015216
LM,40,0.8,-143.84924748229,0.026331117620998157
LM,40,1.0,-143.859556775638,0.027183577304015216
LM,40,0.8,-143.84924748206902,0.026331117841976948
LM,40,0.8,-143.83674219850099,0.036995057576007184
LM,40,0.8,-143.848889425209,0.026242806768010496
LM,40,0.8,-143.838893123273,0.02677875858799439
LM,40,1.0,-143.87493548381698,0.005639169693978374
LM,40,0.9,-148.022031904144,0.017110655583991274
LM,40,0.9,-148.02465955641702,0.010903070761969502
LM,40,0.9,-148.024385985699,0.011037163573973885
LM,40,0.9,-148.02671686061,0.011828325997981892
LM,40,0.8,-148.008430889158,0.02144496600999446
LM,40,1.6,-148.027127934243,0.009140414499000826
LM,40,1.2,-150.098631147939,0.010929879792001884
LM,40,0.4,-150.068085940659,0.04020598525801233
LM,40,0.4,-150.065738133602,0.041398210701999005
LM,40,0.9,-150.11430496457203,0.008104989544023056
LM,40,0.6,-150.060420268626,0.037594895050006016
LM,40,0.4,-150.066572119789,0.03146867194502079
LM,40,2.5,-145.267396885607,0.0409267446059971
LM,40,2.9,-145.25957279178,0.03298046079800088
LM,45,3.0,-145.29838649264903,0.005332444070972997
LM,40,2.9,-145.267172544883,0.032331681070985496
LM,40,0.5,-178.01960911835403,0.017798171270982266
LM,40,0.4,-178.003269300057,0.014791374247977274
LM,40,0.3,-178.006600368607,0.013767412435015558
LM,40,0.5,-178.001333445433,0.02024370767398409
LM,40,0.5,-177.998094162193,0.0182871659319801
LM,40,0.5,-177.998002261301,0.01987161985599073
LM,40,0.5,-130.75074215152299,0.006677956089021109
LM,40,0.4,-130.742960283341,0.008341464290992917
LM,40,0.5,-130.748995853948,0.00025552118100335974
LM,40,0.4,-130.730762918875,0.010759847201995854
LM,40,0.4,-130.744711947624,0.006087549106979395
LM,40,0.1,-130.81142683623102,0.0059986217409857545
LM,40,0.2,-131.7909229441,0.01232683765599063
LM,40,0.2,-131.791924815468,0.008376246145985533
LM,40,0.2,-131.791359897851,0.0064918970269900456
LM,40,0.2,-131.783542069206,0.009418758248017411
LM,40,0.2,-131.78654836798302,0.009562699704986244
LM,40,0.2,-131.789670725606,0.003574931180025942
LM,40,0.2,-139.527833245089,0.011599426888011521
LM,40,0.5,-139.524960677591,0.011246184754014621
LM,40,0.2,-139.512289720065,0.017562641412979474
LM,40,0.2,-139.518239455257,0.012173582701990426
LM,40,0.1,-139.51978726267598,0.011125841325025476
