Model,threshold,resolution,energy,energy_diff
LM,40,0.3,-89.402401193717,0.010058885364998105
LM,40,0.3,-89.398249224903,0.013435371458001555
LM,40,0.2,-139.350047827275,0.1581906735029861
LM,40,0.2,-139.357940919649,0.16839612580901075
LM,40,0.2,-139.344720707677,0.15598041653899486
LM,40,0.2,-139.34982905386,0.18783804339201993
LM,40,0.2,-139.34452613360202,0.17073348389297394
LM,40,0.2,-139.33797342503001,0.17853130136299455
LM,85,2.6,-125.921875888712,0.01026886424899942
LM,80,3.0,-142.218389722383,0.34497211271101946
LM,40,3.0,-142.219772624368,0.33266704975400785
LM,40,3.0,-142.207909933958,0.3445953345759847
LM,75,3.0,-142.21433960626402,0.3356356150149793
LM,40,0.1,-142.234647087935,0.3071866825530094
LM,85,3.0,-142.212548381203,0.32128068781699426
LM,40,0.1,-136.140389549709,0.0863020253219986
LM,40,0.1,-136.126727826638,0.09487870732701253
LM,40,0.1,-136.133799190506,0.08690242930498471
LM,40,0.1,-136.119321841444,0.10046360624900785
LM,40,0.1,-136.12027164480202,0.09268113369199682
LM,40,0.1,-136.134639248802,0.08741012470400733
LM,40,0.2,-251.53052119535698,0.46918632262301685
LM,40,0.2,-251.52940000189002,0.46404104139696756
LM,45,0.2,-251.530817958478,0.4661242700300079
LM,45,0.2,-251.540271984325,0.45735483552999767
LM,65,0.2,-251.538598154927,0.4385163414110025
LM,60,0.2,-251.535368274483,0.45667303770699164
LM,50,1.2,-221.40934124340302,0.13876479175598888
LM,60,1.2,-221.41679279921198,0.14351829581502784
LM,60,1.2,-221.414810378497,0.12589086519798798
LM,40,1.2,-221.420867754682,0.11078562989399643
LM,80,1.2,-221.42184830545196,0.11329980445805177
LM,50,1.2,-221.41766994499602,0.09722073084196836
LM,80,2.7,-155.61033024834,0.24346289645100683
LM,50,2.7,-155.610861259879,0.24153651767102247
LM,85,2.9,-155.621203546904,0.23014185788699137
LM,75,2.7,-155.611568036069,0.23992433249100031
LM,45,2.7,-155.60363569513802,0.24838662676498302
LM,70,2.9,-155.60338913117403,0.24658795852096205
