Model,threshold,Number of Clusters,energy,energy_diff
SC,50,2,-139.440323847944,0.06791465283399134
SC,50,2,-139.477703044718,0.04863400074000879
SC,50,2,-139.433425610879,0.06727551333699466
SC,50,2,-139.47145346600502,0.06621363124699542
SC,50,2,-139.461800991441,0.053458626053981106
SC,50,2,-139.458101412924,0.058403313469000295
SC,65,15,-125.91807187790698,0.010829080459018314
SC,50,2,-142.485650353442,0.0777114816520168
SC,50,2,-142.508889570751,0.04355010337101817
SC,50,2,-142.528859586441,0.023645682092990228
SC,50,2,-142.502224622927,0.04775059835199613
SC,50,2,-142.50208439999,0.03974937049801497
SC,50,2,-142.510403519302,0.023425549717984495
SC,45,2,-136.17056569219199,0.05612588283901232
SC,45,2,-136.158953197041,0.06265333692400077
SC,45,2,-136.16426072808702,0.05644089172398026
SC,45,2,-136.146010741748,0.07377470594499869
SC,45,2,-136.154723380645,0.05822939784900427
SC,45,2,-136.166338884504,0.05571048900199571
SC,80,2,-251.831099715976,0.16860780200400427
SC,80,2,-251.83639062344997,0.15705041983702017
SC,80,2,-251.828133475632,0.1688087528760036
SC,80,2,-251.83381131198502,0.16381550786996968
SC,80,2,-251.798432299526,0.17868219681199093
SC,80,2,-251.837905252766,0.15413605942399045
SC,75,2,-221.454157004155,0.09394903100400143
SC,40,12,-221.46960364062403,0.09070745440297401
SC,80,12,-221.450225783198,0.09047546049700372
SC,75,2,-221.432092897069,0.09956048750700575
SC,40,11,-221.45304669062898,0.08210141928103099
SC,80,12,-221.432804926944,0.08208574889400211
SC,40,4,-155.75049209327898,0.10330105151203384
SC,40,4,-155.76330445696698,0.08909332058303221
SC,50,2,-155.75348952658902,0.09785587820198316
SC,40,4,-155.763110824779,0.08838154378099716
SC,40,4,-155.760012749666,0.09200957223700357
SC,40,4,-155.771066087404,0.07891100229099379
SC,80,9,-196.102684308053,0.03056113630600521
SC,65,9,-196.081195570014,0.047267670430017006
SC,65,9,-196.09609333774196,0.024354632376031304
SC,50,10,-196.10128309183503,0.02278058343196676
SC,55,9,-196.08387071956602,0.031463922752976714
SC,40,9,-196.084380837683,0.028922491581994336
SC,40,14,-124.68129308926899,0.014255372938009714
SC,70,14,-124.67741054714398,0.010206410707027658
SC,70,15,-143.91471031427002,0.02796996132801155
SC,80,15,-143.862651738458,0.012926861452996263
SC,85,15,-143.904387733958,0.017647381015990504
SC,40,15,-143.86120592956598,0.014372670345011329
SC,70,15,-143.888371932756,0.014634676679008862
SC,55,15,-143.85133002827,0.014341853590991605
SC,80,10,-189.539143104152,0.010299737942006004
SC,70,10,-189.543691132385,0.013343240125010425
SC,40,10,-189.534921378312,0.01181264026899953
SC,50,10,-189.53641135678697,0.012387302062023764
SC,50,2,-129.165274761612,0.07073271406997605
