base file name,ground energy,ground time,cumulated fragment energy (LM),max fragment time (LM),cumulated fragment energy (SC),max fragment time (SC)
1zzd_2.xyz,-163.988368364533,20.05,-163.883792566058,33.067,-163.85784813704902,51.296
1zzd_2.xyz,-163.988368364533,26.943,-163.883792566058,29.502,-163.857848137051,48.166
3zor_4.xyz,-162.06251717422,32.483,-162.032604283512,34.762,-162.03042027109302,43.854
5tjw_2.xyz,-155.252081113865,32.355,-155.229922838697,36.498,-155.22803116401002,35.061
CGKRK_5.xyz,-139.516504726393,26.591,-139.487213014955,55.467,-139.49439899920202,20.069
CRGDK_5.xyz,-136.222049373506,20.278,-136.079847335201,55.069,-136.184493338064,28.461
DGEA_3.xyz,-97.161132071481,0.881,-97.12007534905001,30.279,-97.15304880000099,43.767
GIPKAR10_2.xyz,-228.547956912874,33.713,-228.46396060610599,55.068,-228.538739654214,54.266
GOKXOV_3.xyz,-166.035498696605,39.028,-166.026055728463,33.17,-166.011594621803,5.471
HIS_GLH_GLH_0.xyz,-101.999956650114,55.845,-101.95496841587601,15.998,-101.96713811247,27.277
HIS_PRO_HIS_1.xyz,-93.698612542994,55.555,-93.676193717383,31.959,-93.627253661742,29.298
KGD_2.xyz,-81.802493609981,33.471,-81.376220776495,25.47,-81.463654988608,29.2
KLVFFAE_3.xyz,-197.697308656061,58.736,-197.312634052827,48.164,-197.389931324031,52.098
LETPIM_3.xyz,-218.784094819245,34.005,-218.701333447846,44.298,-218.767512130675,8.064
MET_GLH_MET_5.xyz,-94.362531647169,3.837,-94.246356001797,21.115,-94.35476588017099,27.878
MET_HIS_HIS_4.xyz,-97.938585739699,53.792,-97.877037825156,30.481,-97.926089756412,30.666
TYR_TYR_GLN_0.xyz,-112.513906429886,3.725,-112.49269410411699,35.364,-112.49269410411699,31.298
VYIHPF_5.xyz,-178.017873881157,57.609,-177.991508243959,53.397,-177.98330843012002,56.693
ZEHDEV_3.xyz,-161.057133490572,28.645,-161.047371208621,52.655,-161.051477731535,53.167
SAFVOM_3.xyz,-228.608494119485,12.121,-228.594835370917,35.186,-228.537796041145,58.669
